,CustomerID,Recence,Frequence,Montant,Cluster_KMeans,Cluster_CAH
0,12346.0,326,1,77183.6,3,4
1,12347.0,2,7,4310.0,0,2
2,12348.0,75,4,1797.24,0,2
3,12349.0,19,1,1757.55,0,2
4,12350.0,310,1,334.4,1,1
5,12352.0,36,8,2506.04,0,2
6,12353.0,204,1,89.0,1,1
7,12354.0,232,1,1079.4,1,1
8,12355.0,214,1,459.4,1,1
9,12356.0,23,3,2811.43,0,2
10,12357.0,33,1,6207.67,0,2
11,12358.0,2,2,1168.06,0,2
12,12359.0,58,4,6372.58,0,2
13,12360.0,52,3,2662.06,0,2
14,12361.0,287,1,189.9,1,1
15,12362.0,3,10,5226.23,0,2
16,12363.0,110,2,552.0,0,2
17,12364.0,8,4,1313.1,0,2
18,12365.0,291,2,641.38,1,1
19,12367.0,4,1,168.9,0,2
20,12370.0,51,4,3545.69,0,2
21,12371.0,45,2,1887.96,0,2
22,12372.0,72,3,1298.04,0,2
23,12373.0,311,1,364.6,1,1
24,12374.0,25,1,742.9300000000001,0,2
25,12375.0,11,2,457.5,0,2
26,12377.0,315,2,1628.12,1,1
27,12378.0,130,1,4008.62,0,2
28,12379.0,82,2,852.24,0,2
29,12380.0,22,4,2724.81,0,2
30,12381.0,5,5,1845.31,0,2
31,12383.0,185,5,1850.56,1,1
32,12384.0,29,2,585.27,0,2
33,12386.0,338,2,401.9,1,1
34,12388.0,16,6,2780.66,0,2
35,12390.0,80,1,549.84,0,2
36,12391.0,22,1,460.89,0,2
37,12393.0,72,4,1582.6000000000001,0,2
38,12394.0,64,2,1272.48,0,2
39,12395.0,19,12,3018.63,0,2
40,12397.0,36,2,2409.9,0,2
41,12398.0,46,1,1635.6599999999999,0,2
42,12399.0,119,4,1108.65,0,2
43,12401.0,303,1,84.3,1,1
44,12402.0,323,1,225.6,1,1
45,12403.0,50,1,427.7,0,2
46,12405.0,149,1,1710.39,1,2
47,12406.0,22,2,3415.3,0,2
48,12407.0,50,5,1708.1200000000001,0,2
49,12408.0,33,5,2888.55,0,2
50,12409.0,79,3,11072.67,0,2
51,12410.0,309,2,693.3299999999999,1,1
52,12412.0,75,3,1226.88,0,2
53,12413.0,67,3,758.1,0,2
54,12414.0,217,3,562.41,1,1
55,12415.0,24,21,124914.53,2,3
56,12417.0,3,9,3649.1,0,2
57,12418.0,113,1,668.58,0,2
58,12420.0,64,1,600.39,0,2
59,12421.0,16,4,807.04,0,2
60,12422.0,96,3,803.5600000000001,0,2
61,12423.0,1,8,1859.31,0,2
62,12424.0,163,2,1760.96,1,2
63,12425.0,78,1,777.2,0,2
64,12426.0,195,1,582.73,1,1
65,12427.0,22,3,825.8,0,2
66,12428.0,26,9,7956.46,0,2
67,12429.0,9,4,3750.4,0,2
68,12430.0,43,1,256.4,0,2
69,12431.0,36,15,6487.45,3,2
70,12432.0,43,5,5059.32,0,2
71,12433.0,1,7,13375.87,0,2
72,12434.0,85,2,806.14,0,2
73,12435.0,80,2,7829.89,0,2
74,12436.0,100,1,509.01,0,2
75,12437.0,2,18,4951.41,3,2
76,12438.0,14,2,2906.85,0,2
77,12441.0,367,1,173.55,1,1
78,12442.0,3,1,172.06,0,2
79,12444.0,21,5,5005.46,0,2
80,12445.0,22,1,133.4,0,2
81,12446.0,58,1,1002.3100000000001,0,2
82,12447.0,243,1,476.49,1,1
83,12448.0,44,1,449.45,0,2
84,12449.0,22,4,4067.29,0,2
85,12450.0,156,2,197.88,1,2
86,12451.0,11,5,9035.52,0,2
87,12452.0,17,2,430.57,0,2
88,12453.0,134,1,707.09,0,2
89,12454.0,56,1,3528.34,0,2
90,12455.0,73,6,2466.86,0,2
91,12456.0,44,3,3181.04,0,2
92,12457.0,66,7,2363.23,0,2
93,12458.0,71,2,947.4,0,2
94,12461.0,94,2,826.88,0,2
95,12462.0,19,2,1189.59,0,2
96,12463.0,53,4,1344.78,0,2
97,12464.0,10,8,1212.05,0,2
98,12465.0,17,2,742.1899999999999,0,2
99,12468.0,188,2,729.5400000000001,1,1
100,12471.0,2,30,19824.05,3,4
101,12472.0,32,7,6572.11,0,2
102,12473.0,29,5,3938.5499999999997,0,2
103,12474.0,17,18,7375.79,3,2
104,12475.0,54,1,723.38,0,2
105,12476.0,16,11,6816.42,0,2
106,12477.0,23,6,13219.74,0,2
107,12478.0,4,1,680.99,0,2
108,12479.0,11,1,527.2,0,2
109,12480.0,28,4,3281.63,0,2
110,12481.0,23,10,5596.32,0,2
111,12483.0,17,8,2484.98,0,2
112,12484.0,33,6,4541.72,0,2
113,12488.0,10,3,1298.66,0,2
114,12489.0,336,1,334.93,1,1
115,12490.0,5,10,5417.93,0,2
116,12491.0,39,1,460.40000000000003,0,2
117,12492.0,63,2,263.21000000000004,0,2
118,12493.0,166,2,433.74,1,1
119,12494.0,16,7,1246.1000000000001,0,2
120,12497.0,82,1,1043.1,0,2
121,12498.0,21,3,403.70000000000005,0,2
122,12500.0,23,11,4257.82,0,2
123,12501.0,337,1,2169.39,1,1
124,12502.0,96,5,3723.87,0,2
125,12504.0,18,2,482.04999999999995,0,2
126,12506.0,233,1,73.5,1,1
127,12507.0,134,3,1304.81,0,2
128,12508.0,26,2,398.27,0,2
129,12509.0,284,1,176.5,1,1
130,12510.0,143,2,982.5699999999999,0,2
131,12512.0,66,2,138.03,0,2
132,12513.0,113,1,612.29,0,2
133,12514.0,267,1,1017.68,1,1
134,12515.0,353,1,383.7,1,1
135,12516.0,78,2,1312.06,0,2
136,12517.0,28,5,2502.84,0,2
137,12518.0,1,5,2056.89,0,2
138,12519.0,64,1,340.84,0,2
139,12520.0,79,5,2634.26,0,2
140,12521.0,143,1,599.68,1,2
141,12522.0,39,2,192.72,0,2
142,12523.0,19,11,1789.77,0,2
143,12524.0,9,8,4485.72,0,2
144,12526.0,1,3,1316.66,0,2
145,12527.0,82,3,348.71000000000004,0,2
146,12528.0,9,6,1933.48,0,2
147,12530.0,60,4,1662.28,0,2
148,12531.0,15,1,125.22,0,2
149,12532.0,30,1,349.83000000000004,0,2
150,12534.0,131,1,1089.18,0,2
151,12535.0,92,2,716.35,0,2
152,12536.0,43,3,12601.830000000002,0,2
153,12538.0,29,1,363.95,0,2
154,12539.0,22,4,5568.35,0,2
155,12540.0,20,17,13400.24,3,2
156,12541.0,30,3,981.18,0,2
157,12544.0,36,1,372.7,0,2
158,12545.0,75,2,1000.39,0,2
159,12546.0,47,2,1161.5,0,2
160,12547.0,198,2,207.79999999999998,1,1
161,12548.0,166,1,95.19999999999999,1,2
162,12550.0,79,1,964.83,0,2
163,12551.0,358,1,168.0,1,1
164,12552.0,39,2,437.82,0,2
165,12553.0,8,10,3692.28,0,2
166,12556.0,50,2,603.71,0,2
167,12557.0,16,5,11990.960000000001,0,2
168,12558.0,8,1,269.96,0,2
169,12559.0,311,2,561.71,1,1
170,12560.0,5,3,2134.01,0,2
171,12561.0,303,1,238.85,1,1
172,12562.0,8,7,3781.7400000000002,0,2
173,12564.0,261,1,456.9,1,1
174,12565.0,289,1,145.92,1,1
175,12566.0,86,1,351.65,0,2
176,12567.0,23,10,9401.28,0,2
177,12569.0,2,32,4124.69,3,2
178,12571.0,40,2,519.61,0,2
179,12572.0,9,2,1020.42,0,2
180,12573.0,227,1,160.54000000000002,1,1
181,12574.0,316,1,218.45,1,1
182,12576.0,36,5,1315.83,0,2
183,12577.0,35,3,657.8,0,2
184,12578.0,21,2,2794.51,0,2
185,12579.0,78,1,440.42,0,2
186,12580.0,247,1,415.7,1,1
187,12581.0,40,1,197.71,0,2
188,12582.0,239,2,511.36,1,1
189,12583.0,3,15,7281.38,3,2
190,12584.0,4,9,2338.15,0,2
191,12585.0,234,2,2040.1,1,1
192,12586.0,17,1,196.94000000000003,0,2
193,12587.0,8,1,144.0,0,2
194,12588.0,39,1,214.89999999999998,0,2
195,12589.0,29,2,646.68,0,2
196,12590.0,211,2,9864.26,1,1
197,12591.0,317,1,452.84999999999997,1,1
198,12592.0,92,2,437.6,0,2
199,12593.0,109,3,418.09999999999997,0,2
200,12594.0,38,10,3338.2200000000003,0,2
